SN,depart,airline,flight-code,departure-time,departure-city,flight-duration,flight-layover,arrival-time,arrival-city,flight-cost
59,"Fri, Mar 10, 2023",IndiGo,"6E 6492, 6E 803",13:20,New Delhi,05 h 20 m ,1 stop via Ahmedabad,18:40,Mumbai,"₹ 10,084"
60,"Fri, Mar 10, 2023",Air India,AI 441,17:50,New Delhi,02 h 25 m ,Non stop,20:15,Mumbai,"₹ 10,155"
61,"Fri, Mar 10, 2023",Air India,AI 624,19:00,New Delhi,02 h 25 m ,Non stop,21:25,Mumbai,"₹ 10,155"
62,"Fri, Mar 10, 2023",Air India,AI 605,21:20,New Delhi,02 h 15 m ,Non stop,23:35,Mumbai,"₹ 10,155"
63,"Fri, Mar 10, 2023",Air India,AI 814,22:30,New Delhi,02 h 15 m ,Non stop,00:45,Mumbai,"₹ 10,155"
64,"Fri, Mar 10, 2023",IndiGo,6E 2017,19:20,New Delhi,02 h 10 m ,Non stop,21:30,Mumbai,"₹ 10,328"
65,"Fri, Mar 10, 2023",IndiGo,6E 2084,20:20,New Delhi,02 h 15 m ,Non stop,22:35,Mumbai,"₹ 10,328"
66,"Fri, Mar 10, 2023",AirAsia,"I5 857, I5 334",19:05,New Delhi,05 h 35 m ,1 stop via Bengaluru,00:40,Mumbai,"₹ 10,522"
67,"Fri, Mar 10, 2023",SpiceJet,SG 8709,18:30,New Delhi,02 h 25 m ,Non stop,20:55,Mumbai,"₹ 10,542"
68,"Fri, Mar 10, 2023",Vistara,"UK 819, UK 864",14:10,New Delhi,06 h 30 m ,1 stop via Bengaluru,20:40,Mumbai,"₹ 10,749"
69,"Fri, Mar 10, 2023",Vistara,UK 941,16:35,New Delhi,02 h 30 m ,Non stop,19:05,Mumbai,"₹ 13,830"
70,"Fri, Mar 10, 2023",Vistara,UK 955,17:45,New Delhi,02 h 10 m ,Non stop,19:55,Mumbai,"₹ 13,830"
71,"Fri, Mar 10, 2023",Vistara,UK 977,19:00,New Delhi,02 h 15 m ,Non stop,21:15,Mumbai,"₹ 13,830"
72,"Fri, Mar 10, 2023",Vistara,UK 985,19:45,New Delhi,02 h 15 m ,Non stop,22:00,Mumbai,"₹ 13,830"
73,"Fri, Mar 10, 2023",Vistara,UK 957,20:40,New Delhi,02 h 15 m ,Non stop,22:55,Mumbai,"₹ 13,830"
74,"Fri, Mar 10, 2023",Vistara,UK 981,21:40,New Delhi,02 h ,Non stop,23:40,Mumbai,"₹ 13,830"
